row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
290,"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive,neutral,"by the (1.0660), kids (0.2526), the (0.2334), the way (0.2213), done (0.1404), by (0.0605), way (0.0344), and (-0.0341)","hotel (-1.6082), grey (-1.2027), stopped (-1.2027), disneyland (-0.5096), at (-0.1845), on the (-0.1753), on (-0.1106), out (-0.1064)"
291, ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral,negative,"hope (1.9251), better (1.2074), hope your (1.1487), your (0.7582), you too (0.7342), you (0.6912), lol (0.6755), can be (0.4837)","painful (-2.7432), miss (-2.2323), cramps (-2.1835), miss you (-2.0165), miss you too (-1.6445), know how (-0.3665), get (-0.2752), how (-0.2744)"
300,"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral,positive,"your (1.5165), added (1.5053), version of (1.1487), of your (0.9255), isn (0.8767), book (0.7503), version (0.6691), has the (0.4555)","has (-0.5787), is (-0.2590), plus (-0.2219), in (-0.1240), of (-0.0168), it (-0.0008), it has (0.0966), is the (0.2280)"
303,I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,neutral,positive,"awesome (3.8886), fun (2.2131), having fun (1.7677), fun though (1.6877), bbq (1.1768), mon (0.5891), though (0.4272), was (0.1479)","miss (-2.2323), not (-1.1138), not_for (-0.8806), miss it (-0.6431), have not (-0.5096), been (-0.4103), ive been (-0.3272), on (-0.1106)"
305, I am soo excited about your pasadena seminar...if only i can find the confermation email,positive,neutral,"excited (2.2254), excited about (2.0931), your (0.7582), can (0.2265), the (0.1167), am soo (-0.1041), soo (-0.1647), about (-0.2748)","can find (-1.2027), find the (-0.9150), email (-0.8714), about your (-0.5896), find (-0.5847), only (-0.5551), am (-0.4365), about (-0.2748)"
307,I want a new phone  I`ve seen too much cellphone commercials (,negative,neutral,"ive seen (0.7432), new (0.5181), seen (0.4349), new phone (0.1836), much (0.0979), too (-0.0225), ive (-0.0864), want (-0.6023)","too much (-1.0995), phone (-1.0328), want (-0.6023), ive (-0.0864), too (-0.0225), much (0.0979), new phone (0.1836), seen (0.4349)"
308, we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,negative,neutral,"for while (0.6844), with (0.5894), theory (0.5891), new (0.5181), my new (0.4555), test (0.4424), well (0.3628), for (0.3537)","not_right (-1.8088), not_to (-1.3961), no (-1.0068), feelin (-0.6431), my (-0.4006), while (-0.3272), that (-0.2860), got (-0.1530)"
311,  tis very useful indeed esp. for newbies like me!,positive,neutral,"indeed (0.7832), useful (0.5891), for (0.3537), tis (0.3014), very (0.2789), esp (0.1836), like (-0.2178), me (-0.3680)","like me (-1.0204), me (-0.3680), like (-0.2178), esp (0.1836), very (0.2789), tis (0.3014), for (0.3537), useful (0.5891)"
317, yup!  Now I can join in on the nin access fun!,positive,neutral,"fun (2.2131), join (0.9945), now can (0.8122), yup (0.3659), can (0.2265), the (0.1167), on (-0.1106), in (-0.1240)","access (-1.7135), in on (-0.9514), now (-0.3313), on the (-0.1753), in (-0.1240), on (-0.1106), the (0.1167), can (0.2265)"
318,"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",neutral,negative,"all the (1.0323), that was (0.4740), all (0.3795), thinking that (0.1836), time (0.1696), was (0.1479), the (0.1167), thinking (-0.0261)","into work (-1.4904), walked (-1.3569), sitting in (-0.7102), this time (-0.6431), work (-0.5527), wednesday (-0.3554), while (-0.3272), sitting (-0.3008)"
323, I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,neutral,negative,"without me (0.3014), bottle (0.2324), ahhhhh (-0.1041), in (-0.1240), water (-0.3619), me (-0.3680), my (-0.4006), hot (-0.7231)","without (-1.1275), hot (-0.7231), my (-0.4006), me (-0.3680), water (-0.3619), in (-0.1240), ahhhhh (-0.1041), bottle (0.2324)"
326, the hotel should be thankful,positive,neutral,"thankful (2.2938), should be (0.6378), should (0.1891), be (0.1406), the (0.1167), hotel (-1.6082)","hotel (-1.6082), the (0.1167), be (0.1406), should (0.1891), should be (0.6378), thankful (2.2938)"
338,making german apple slice  nom nom nom,positive,neutral,"slice (0.9945), apple (0.4067), making (-0.2472), nom (-0.3123)","nom (-0.3123), making (-0.2472), apple (0.4067), slice (0.9945)"
339,Looks like its another night at the office lol,neutral,negative,"night (0.6763), lol (0.6755), looks (0.5133), the (0.1167), at the (0.0267), its (-0.1303), another (-0.1831), at (-0.1845)","at the office (-1.7135), night at (-1.0204), office (-0.9209), the office (-0.7972), like its (-0.5561), looks like its (-0.3918), looks like (-0.2740), like (-0.2178)"
346,Mozzer cancelled tonight by the looks of it.,positive,neutral,"by the (1.0660), looks (0.5133), tonight (0.1857), of it (0.1410), the (0.1167), by (0.0605), it (-0.0008), of (-0.0084)","cancelled (-1.0204), of (-0.0084), it (-0.0008), by (0.0605), the (0.1167), of it (0.1410), tonight (0.1857), looks (0.5133)"
347,"waiting for aaron to get into town, and then leave him for work. booo",negative,neutral,"for (0.7073), then (0.3593), him for (0.3014), get into (0.3014), and then (0.2526), town (0.0294), to (-0.0285), and (-0.0341)","leave (-0.8773), for work (-0.8662), waiting (-0.6919), waiting for (-0.5741), work (-0.5527), to get (-0.4206), booo (-0.3918), into (-0.2769)"
