row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
510," For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",negative,neutral,"about (0.2050), WHILE (0.1857), sure (0.1029), bee. (0.0872), should (0.0638), you (0.0598), and (0.0589), cat (0.0479)","worrying (-0.2305), For (-0.0732), WHILE (-0.0495), continue (-0.0347), to (-0.0044), on (0.0016), call, (0.0068), Tweet (0.0099)"
511,"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",negative,neutral,"LOL! (0.4057), of (0.0823), shirt, (0.0663), art (0.0524), charcoal (0.0099), 2D (-0.0004), school (-0.0066), sticks (-0.0091)","mess (-1.2272), my (-0.0791), was (-0.0684), a (-0.0585), in (-0.0555), huge (-0.0515), Made (-0.0428), using (-0.0325)"
521," If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",negative,neutral,"I (0.1042), it? (0.0930), REPLY (0.0779), will (0.0750), double (0.0665), do (0.0484), you (0.0308), PLEASE (0.0227)","DOUGIE, (-0.1330), ME (-0.0951), If (-0.0634), say (-0.0396), TO (-0.0387), i (-0.0103), you (0.0080), dare (0.0227)"
522, I`m not either. We should have went out *snicker* Although I am enjoying listening to RR and my beer,neutral,positive,"enjoying (0.6809), either. (0.0677), RR (0.0503), listening (0.0312), beer (0.0163), am (0.0113), my (0.0012), to (-0.0014)","Although (-0.3653), *snicker* (-0.1679), not (-0.0840), went (-0.0708), I (-0.0649), have (-0.0573), should (-0.0490), We (-0.0216)"
524," MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",positive,neutral,"haven`t (0.4704), MUAHAHAHHAHAHA... (0.2504), maybe (0.1688), though (0.1605), well, (0.1472), something. (0.1201), they (0.1142), think (0.1022)","crazy (-0.0747), yet (0.0232), I`m (0.0256), scared (0.0301), or (0.0906), I (0.0915), think (0.1022), they (0.1142)"
531," Think you should do a tour in England, we dont got to see any aweomse people !!",negative,neutral,"to (0.0991), should (0.0783), tour (0.0658), people (0.0599), do (0.0554), in (0.0504), a (0.0472), aweomse (0.0401)","dont (-0.3212), England, (-0.0517), we (-0.0359), got (-0.0107), see (-0.0054), Think (0.0075), you (0.0123), !! (0.0325)"
537,"having the flu, not the swinish-one, but the flu.",neutral,negative,"not (0.0139), flu. (-0.0048), the (-0.0117), the (-0.0148), flu, (-0.0617), swinish-one, (-0.0663), the (-0.0680), but (-0.1157)","having (-0.1787), but (-0.1157), the (-0.0680), swinish-one, (-0.0663), flu, (-0.0617), the (-0.0148), the (-0.0117), flu. (-0.0048)"
538, don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,negative,neutral,"we`re (0.0355), pretty (0.0304), logan (0.0114), shirt (0.0087), local (-0.0050), square (-0.0453), the (-0.0469), to (-0.0522)","sure (-0.3294), philly (-0.1561), more (-0.1122), go (-0.0725), isn`t (-0.0716), tmrw (-0.0680), don`t (-0.0661), there (-0.0559)"
543,"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",positive,neutral,"well (0.3612), as (0.1769), waterfront. (0.1194), Surprised (0.0706), still (0.0599), handled (0.0500), I`m (0.0248), from (0.0101)","exhausted (-0.8417), Went (-0.2335), at (-0.1842), on (-0.1678), I (-0.1072), it, (-0.1030), the (-0.0634), how (-0.0290)"
545,Good morning scary world!,negative,positive,"Good (1.3543), world! (-0.0106), morning (-0.0770), scary (-0.2858)","scary (-0.2858), morning (-0.0770), world! (-0.0106), Good (1.3543)"
547, - ummmm. no comment. LOL. I actually have not watched GH in about a week.,positive,neutral,"I (0.0563), comment. (0.0487), LOL. (0.0391), ummmm. (0.0181), about (0.0172), GH (0.0115), - (0.0001), have (-0.0003)","not (-0.1262), no (-0.0762), week. (-0.0351), in (-0.0328), watched (-0.0184), a (-0.0045), actually (-0.0031), have (-0.0003)"
550,_Layne  hmm.. what`s ur fav movie?? tv shows??,neutral,positive,"fav (0.6619), movie?? (0.0584), ur (0.0125), hmm.. (0.0105), _Layne (0.0030), tv (0.0018), shows?? (-0.0512), what`s (-0.1404)","what`s (-0.1404), shows?? (-0.0512), tv (0.0018), _Layne (0.0030), hmm.. (0.0105), ur (0.0125), movie?? (0.0584), fav (0.6619)"
553," Don`t worry, the bizarre will find you",positive,neutral,"Don`t (0.7791), the (0.1315), worry, (0.0655), will (-0.0516), find (-0.0937), you (-0.1046), bizarre (-0.3362)","bizarre (-0.3362), you (-0.1046), find (-0.0937), will (-0.0516), worry, (0.0655), the (0.1315), Don`t (0.7791)"
555,"_Walker21 sadly no, I`ll be going to the killumbus show. I really want to but no one wants to drive me there",neutral,negative,"_Walker21 (0.0660), show. (0.0507), the (0.0486), no, (0.0437), I (0.0382), really (0.0361), but (0.0309), killumbus (0.0245)","sadly (-0.3664), no (-0.0884), want (-0.0269), wants (-0.0175), be (-0.0169), going (-0.0160), to (-0.0051), to (-0.0036)"
564,"Early bird gets the worm.  And in my case, birder gets to witness the carnage.",neutral,negative,"the (0.1845), to (0.1623), the (0.1467), gets (0.0889), Early (0.0678), in (0.0496), case, (0.0454), witness (0.0411)","carnage. (-0.3455), worm. (-0.1166), gets (-0.0164), my (-0.0123), birder (-0.0085), bird (0.0320), And (0.0391), witness (0.0411)"
569,"Wow, the new Google icons suck   http://bit.ly/z7JIE",neutral,negative,"Wow, (0.1522), http://bit.ly/z7JIE (0.1139), new (0.1123), Google (0.1000), the (0.0577), icons (0.0452), suck (-1.3838)","suck (-1.3838), icons (0.0452), the (0.0577), Google (0.1000), new (0.1123), http://bit.ly/z7JIE (0.1139), Wow, (0.1522)"
570, Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,positive,neutral,"best! (0.4588), laughing (0.2105), Thank (0.1897), the (0.0388), with (0.0185), him (0.0146), That (0.0139), him (0.0094)","miss (-0.5445), I (-0.3642), hard. (-0.1515), I (-0.0530), Hahah! (-0.0397), for (-0.0342), he (-0.0221), so (-0.0216)"
575, someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,positive,neutral,"sweet (0.3983), i (0.3322), sweet (0.3238), somethin (0.2577), a (0.2191), teddies (0.1648), lol (0.1377), chock (0.1282)","tooth (-0.4788), attacked (-0.3807), dying (-0.2393), for (-0.1971), coated (-0.0438), someone`s (-0.0292), so (-0.0117), tiny (0.0283)"
